1
Vendor Device GVertexMath GPixelMath GOutputBytes GAniso1 GAniso2 GAniso4 GAniso8 GAniso16
10DE 0425 2.49 5.26 7.25 1.70 1.09 0.62 0.43 0.32 "NVIDIA GeForce 8600M GS"
10DE 0426 1.32 4.26 6.55 1.50 0.96 0.56 0.40 0.29 "NVIDIA GeForce 8400M GT"
10DE 0427 2.00 4.22 4.92 1.13 0.81 0.49 0.35 0.26 "NVIDIA GeForce 8400M GS"
10DE 0429 1.99 4.21 5.38 1.25 0.85 0.49 0.35 0.26 "NVIDIA Quadro NVS 140M"
10DE 042E 1.18 3.83 4.68 1.09 0.79 0.48 0.34 0.26 "NVIDIA GeForce 9300M G"
10DE 053B 0.20 1.50 3.01 0.29 0.20 0.13 0.10 0.08 "NVIDIA GeForce 7050 PV / NVIDIA nForce 630a"
10DE 053E 0.20 1.50 3.00 0.46 0.28 0.18 0.14 0.12 "NVIDIA GeForce 7025 / NVIDIA nForce 630a"
10DE 05E0 18.44 53.87 28.06 6.99 5.11 3.65 2.87 2.27 "NVIDIA GeForce GTX 295"
10DE 05E1 29.90 88.11 70.83 17.64 13.28 7.43 5.24 3.91 "NVIDIA GeForce GTX 280"
10DE 05E2 28.01 82.18 63.74 15.87 12.32 6.89 4.88 3.63 "NVIDIA GeForce GTX 260"
10DE 05E3 34.10 100.72 76.61 19.18 14.35 8.04 5.69 4.24 "NVIDIA GeForce GTX 285"
10DE 05E6 18.41 54.20 23.25 5.78 4.31 3.18 2.63 2.13 "NVIDIA GeForce GTX 275"
10DE 05EA 14.79 43.65 24.92 6.19 4.88 3.29 2.48 1.91 "NVIDIA GeForce GTX 260"
10DE 05EB 28.72 83.88 59.26 14.81 12.47 7.06 4.99 3.73 "NVIDIA GeForce GTX 295"
10DE 05F9 21.96 65.12 52.17 13.13 9.70 5.62 4.03 3.03 "NVIDIA Quadro CX"
10DE 0600 36.55 76.86 42.63 10.73 9.40 6.58 4.78 3.61 "NVIDIA GeForce 8800 GTS 512"
